crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 2IA,GBCC,5,2,7,0,0,7
Crew 2IA,GBCC,5,3,7,0,0,7
Crew 2IA,GBCC,5,4,7,0,0,7
Crew 2IA,GBCC,5,5,7,0,0,7
Crew 2IA,SWCC,1,1,2,2,50,4
Crew 2IA,SWCC,1,2,2,2,50,4
Crew 2IA,SWCC,1,3,2,2,50,4
Crew 2IA,SWCC,1,4,2,2,50,4
Crew 2IA,SWCC,1,5,4,0,0,4
Crew 2IA,SWCC,2,1,2,2,50,4
Crew 2IA,SWCC,2,2,2,2,50,4
Crew 2IA,SWCC,2,3,2,2,50,4
Crew 2IA,SWCC,2,4,2,2,50,4
Crew 2IA,SWCC,2,5,4,0,0,4
Crew 2IA,SWCC,3,1,4,0,0,4
Crew 2IA,SWCC,3,2,4,0,0,4
Crew 2IA,SWCC,3,3,3,1,25,4
Crew 2IA,SWCC,3,4,4,0,0,4
Crew 2IA,SWCC,3,5,4,0,0,4
Crew 2IA,SWCC,4,1,4,0,0,4
Crew 2IA,SWCC,4,2,4,0,0,4
Crew 2IA,SWCC,4,3,4,0,0,4
Crew 2IA,SWCC,4,4,3,1,25,4
Crew 2IA,SWCC,4,5,4,0,0,4
Crew 2IA,SWCC,5,1,4,0,0,4
Crew 2IA,SWCC,5,2,4,0,0,4
Crew 2IA,SWCC,5,3,4,0,0,4
Crew 2IA,SWCC,5,4,4,0,0,4
Crew 2IA,SWCC,5,5,4,0,0,4
Crew 2IA,RMCC,1,1,2,2,50,4
Crew 2IA,RMCC,1,2,2,2,50,4
Crew 2IA,RMCC,1,3,2,2,50,4
Crew 2IA,RMCC,1,4,4,0,0,4
Crew 2IA,RMCC,1,5,2,2,50,4
Crew 2IA,RMCC,2,1,2,2,50,4
Crew 2IA,RMCC,2,2,4,0,0,4
Crew 2IA,RMCC,2,3,2,2,50,4
Crew 2IA,RMCC,2,4,2,2,50,4
Crew 2IA,RMCC,2,5,4,0,0,4
Crew 2IA,RMCC,3,1,4,0,0,4
